name,cust_id,email,invoice_date,gender,amount
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,8/2/2024,Female,10
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,6/11/2024,Female,38.61
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,8/5/2024,Female,47.68
Bobby Flores,7d41e602-eece-428b-bf7b-118e820865d6,turnerkelly@example.org,5/20/2024,Female,10
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,12/3/2024,Male,194.37
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,11/3/2024,Male,10
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,11/23/2024,Male,21.03
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,12/2/2024,Male,16.66
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,7/16/2024,Male,93.02
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,5/22/2024,Male,87.3
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,9/14/2024,Male,23.45
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,4/10/2024,Male,29.32
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,10/23/2024,Male,10
Donna Lopez,fb3675b8-9cde-43e6-8870-e15c2fcd81b5,thomas12@example.org,11/6/2024,Male,10
Leslie Herring,7e1ea9c5-7358-4a81-8674-37419466e472,christopher91@example.com,8/2/2024,Female,14.18
Leslie Herring,7e1ea9c5-7358-4a81-8674-37419466e472,christopher91@example.com,5/2/2024,Female,23.48
Leslie Herring,7e1ea9c5-7358-4a81-8674-37419466e472,christopher91@example.com,3/10/2024,Female,68.74
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,11/8/2024,Male,66.85
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,3/20/2024,Male,13.64
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,10/25/2024,Male,14.85
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,8/19/2024,Male,10
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,12/7/2024,Male,10
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,8/7/2024,Male,10
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,1/28/2024,Male,141.28
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,2/15/2024,Male,12.07
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,3/9/2024,Male,12.96
Devin Thornton,552116dd-2ba4-4180-8b69-ca385f3f5638,gcabrera@example.org,10/29/2024,Male,10
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,6/23/2024,Female,43.71
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,9/22/2024,Female,10
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,1/23/2024,Female,16.24
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,9/4/2024,Female,10
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,7/17/2024,Female,29.57
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,8/14/2024,Female,12.05
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,11/1/2024,Female,10
Brandon Bass,0589f877-9b02-4244-8950-fd131db53334,susanlopez@example.org,1/26/2024,Female,19.53
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,5/10/2024,Male,30.83
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,9/24/2024,Male,21.47
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,11/1/2024,Male,27.18
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,12/1/2024,Male,10.65
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,3/2/2024,Male,13.97
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,9/2/2024,Male,10.25
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,12/18/2024,Male,14.02
Eric Graham,0a14b90a-7795-4986-80ee-526e0fa07a3f,lyonspeter@example.com,1/22/2024,Male,10
Sarah Peterson,ebe21368-98c7-4205-9e01-a934402d0baf,awade@example.com,9/5/2024,Male,10
Sarah Peterson,ebe21368-98c7-4205-9e01-a934402d0baf,awade@example.com,11/24/2024,Male,23.98
Sarah Peterson,ebe21368-98c7-4205-9e01-a934402d0baf,awade@example.com,11/15/2024,Male,13.44
Sarah Peterson,ebe21368-98c7-4205-9e01-a934402d0baf,awade@example.com,11/30/2024,Male,10
Sarah Peterson,ebe21368-98c7-4205-9e01-a934402d0baf,awade@example.com,8/24/2024,Male,31.91
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,2/19/2024,Female,10
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,10/5/2024,Female,21.16
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,6/24/2024,Female,41.64
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,8/10/2024,Female,22.85
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,9/2/2024,Female,62.77
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,8/3/2024,Female,10
Matthew Hernandez,bdd7d19b-753c-4c99-832f-06cab0d9c2aa,rogersbrandon@example.com,11/21/2024,Female,30.03
Brandi Collins,a69cfb85-d432-48db-aa17-4c1cbf9cc545,smithjames@example.com,2/28/2024,Male,10.13
Brandi Collins,a69cfb85-d432-48db-aa17-4c1cbf9cc545,smithjames@example.com,3/22/2024,Male,10
Michael Nunez,66faf989-0813-4d58-aa16-89addfe1b307,tbarton@example.org,3/1/2024,Female,11.26
Michael Nunez,66faf989-0813-4d58-aa16-89addfe1b307,tbarton@example.org,1/24/2024,Female,14.71
Michael Nunez,66faf989-0813-4d58-aa16-89addfe1b307,tbarton@example.org,9/13/2024,Female,21.25
Michael Nunez,66faf989-0813-4d58-aa16-89addfe1b307,tbarton@example.org,6/11/2024,Female,10
Michael Nunez,66faf989-0813-4d58-aa16-89addfe1b307,tbarton@example.org,11/19/2024,Female,49.44
Michael Nunez,66faf989-0813-4d58-aa16-89addfe1b307,tbarton@example.org,11/27/2024,Female,32
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,3/9/2024,Female,10
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,12/30/2024,Female,88.97
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,8/19/2024,Female,133.74
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,1/31/2024,Female,65.29
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,9/21/2024,Female,16.78
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,12/26/2024,Female,10
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,5/26/2024,Female,57.65
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,9/4/2024,Female,13.42
April Williams,77863fe5-d675-4bf7-8fe3-0c9a53710f57,lambnancy@example.com,4/25/2024,Female,68.2
Mitchell Smith,9cb017c1-8741-4e91-acfe-bb4bd29e8693,leecharlene@example.org,11/14/2024,Male,24.74
Mitchell Smith,9cb017c1-8741-4e91-acfe-bb4bd29e8693,leecharlene@example.org,4/12/2024,Male,53.34
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,8/26/2024,Male,28.68
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,10/25/2024,Male,40.71
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,8/23/2024,Male,20.3
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,2/12/2024,Male,119.81
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,2/26/2024,Male,22.8
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,11/6/2024,Male,30.02
Ariel Nash,0597aab6-14d3-4dbc-a0ac-f4c9658de17e,robin14@example.org,1/16/2024,Male,132.05
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,8/27/2024,Male,10
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,9/17/2024,Male,10
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,11/25/2024,Male,52.95
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,8/21/2024,Male,10
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,5/15/2024,Male,140.28
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,7/15/2024,Male,13.28
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,3/16/2024,Male,10
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,8/2/2024,Male,137.41
David Edwards,e8ec01b3-9145-41ae-b03d-866a5decc06a,mathissusan@example.net,1/4/2024,Male,88.28
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,4/15/2024,Male,130
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,5/24/2024,Male,49.7
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,7/19/2024,Male,10
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,4/17/2024,Male,135.65
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,6/23/2024,Male,15.36
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,3/28/2024,Male,44.81
Gavin Clarke,c787ddfb-5697-417c-97fd-3736b7ef941c,williamsfrank@example.net,1/18/2024,Male,51.79
Joseph Jones,4c9a0ae1-5419-4efc-95e7-3e3f673617d9,jrodriguez@example.com,6/22/2024,Female,17.2
Joseph Jones,4c9a0ae1-5419-4efc-95e7-3e3f673617d9,jrodriguez@example.com,11/2/2024,Female,37.12
Joseph Jones,4c9a0ae1-5419-4efc-95e7-3e3f673617d9,jrodriguez@example.com,12/22/2024,Female,50.51
Joseph Jones,4c9a0ae1-5419-4efc-95e7-3e3f673617d9,jrodriguez@example.com,5/5/2024,Female,29.27
Joseph Jones,4c9a0ae1-5419-4efc-95e7-3e3f673617d9,jrodriguez@example.com,6/23/2024,Female,10
Jessica Turner,27d99a23-e4f7-425e-afe6-790abc18a40b,courtneybennett@example.net,2/1/2024,Female,27.06
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,9/4/2024,Female,75.67
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,6/3/2024,Female,10.03
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,5/14/2024,Female,17.29
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,12/26/2024,Female,13
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,4/5/2024,Female,127.65
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,10/10/2024,Female,39.34
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,6/6/2024,Female,30.19
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,5/10/2024,Female,10
Christina Walker,64d09913-191b-4adf-8202-861c62830869,shane79@example.net,1/24/2024,Female,34.44
Michaela Leach,33a1d1c2-ad4a-4155-809f-cd8f739cd488,crawfordjonathan@example.net,1/16/2024,Female,10.23
Michaela Leach,33a1d1c2-ad4a-4155-809f-cd8f739cd488,crawfordjonathan@example.net,12/12/2024,Female,20.74
Michaela Leach,33a1d1c2-ad4a-4155-809f-cd8f739cd488,crawfordjonathan@example.net,3/19/2024,Female,10.64
Craig Gray,1ad0a6f2-26bd-4974-93b5-64b08be04c3e,zhernandez@example.net,9/5/2024,Male,39.51
Craig Gray,1ad0a6f2-26bd-4974-93b5-64b08be04c3e,zhernandez@example.net,11/16/2024,Male,35.75
Craig Gray,1ad0a6f2-26bd-4974-93b5-64b08be04c3e,zhernandez@example.net,6/29/2024,Male,16.31
Craig Gray,1ad0a6f2-26bd-4974-93b5-64b08be04c3e,zhernandez@example.net,11/30/2024,Male,29.84
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,11/24/2024,Female,10
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,10/25/2024,Female,10
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,1/13/2024,Female,31.17
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,2/24/2024,Female,23.73
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,4/3/2024,Female,37.9
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,10/13/2024,Female,217.71
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,11/3/2024,Female,51.65
Jonathan Jimenez,8af58903-33b5-43ce-9fec-4623ab899605,alecthornton@example.net,7/31/2024,Female,10
Renee Jones,ea5f24b6-de6f-4c4b-843b-2a7d15ab2c21,jonesdavid@example.com,1/6/2024,Female,61.38
Renee Jones,ea5f24b6-de6f-4c4b-843b-2a7d15ab2c21,jonesdavid@example.com,11/4/2024,Female,10
Renee Jones,ea5f24b6-de6f-4c4b-843b-2a7d15ab2c21,jonesdavid@example.com,4/30/2024,Female,12.66
Renee Jones,ea5f24b6-de6f-4c4b-843b-2a7d15ab2c21,jonesdavid@example.com,2/28/2024,Female,18.76
Renee Jones,ea5f24b6-de6f-4c4b-843b-2a7d15ab2c21,jonesdavid@example.com,2/24/2024,Female,111.42
Tracy Wagner,089b30a0-809f-4923-87a1-798fe6addd9e,gregorylinda@example.net,12/27/2024,Female,10
Tracy Wagner,089b30a0-809f-4923-87a1-798fe6addd9e,gregorylinda@example.net,9/29/2024,Female,10
Tracy Wagner,089b30a0-809f-4923-87a1-798fe6addd9e,gregorylinda@example.net,11/26/2024,Female,18.2
Tracy Wagner,089b30a0-809f-4923-87a1-798fe6addd9e,gregorylinda@example.net,3/16/2024,Female,10.35
Linda Petersen,f8e45086-ca81-4c6f-9872-298c7b72590b,olawson@example.org,8/27/2024,Female,61.97
Linda Petersen,f8e45086-ca81-4c6f-9872-298c7b72590b,olawson@example.org,1/1/2024,Female,10
Linda Petersen,f8e45086-ca81-4c6f-9872-298c7b72590b,olawson@example.org,3/7/2024,Female,10
Linda Petersen,f8e45086-ca81-4c6f-9872-298c7b72590b,olawson@example.org,7/4/2024,Female,12.96
Linda Petersen,f8e45086-ca81-4c6f-9872-298c7b72590b,olawson@example.org,4/2/2024,Female,12.21
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,3/28/2024,Male,138.31
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,9/23/2024,Male,51.91
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,5/1/2024,Male,21.92
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,12/9/2024,Male,10
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,6/24/2024,Male,46.73
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,2/21/2024,Male,10
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,11/20/2024,Male,10
Scott Hahn,62584ab3-6877-4bab-85c1-42624d849ec5,pbrown@example.org,8/7/2024,Male,65.89
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,6/20/2024,Female,27.58
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,2/25/2024,Female,50.44
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,1/12/2024,Female,27.63
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,8/13/2024,Female,47.32
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,8/17/2024,Female,10.47
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,2/8/2024,Female,10
Michael Patrick,9c9d03f3-0901-4aee-a940-7be75a4f4145,dhughes@example.org,7/19/2024,Female,39.71
James Frank,0f66b32d-e19b-4837-9c6a-4b5e7d859725,vmendez@example.net,2/15/2024,Female,10
James Frank,0f66b32d-e19b-4837-9c6a-4b5e7d859725,vmendez@example.net,9/6/2024,Female,10.08
James Frank,0f66b32d-e19b-4837-9c6a-4b5e7d859725,vmendez@example.net,8/15/2024,Female,12.74
James Frank,0f66b32d-e19b-4837-9c6a-4b5e7d859725,vmendez@example.net,10/14/2024,Female,20.44
Thomas Lloyd,f521ca9f-df5e-4f78-beeb-b4eaeab9221b,stonekristen@example.org,1/14/2024,Male,14.1
Jacob Lee,1349747a-a1cb-4182-8a20-854d5b471c43,wintersbill@example.com,11/24/2024,Male,10
Jacob Lee,1349747a-a1cb-4182-8a20-854d5b471c43,wintersbill@example.com,12/10/2024,Male,10.55
Jacob Lee,1349747a-a1cb-4182-8a20-854d5b471c43,wintersbill@example.com,8/31/2024,Male,10
Jacob Lee,1349747a-a1cb-4182-8a20-854d5b471c43,wintersbill@example.com,7/27/2024,Male,37.53
Jacob Lee,1349747a-a1cb-4182-8a20-854d5b471c43,wintersbill@example.com,3/19/2024,Male,10
Robert Oneal,8611f583-b2d1-4e3d-809e-2109c7867a38,hhunter@example.org,6/4/2024,Female,10
Robert Oneal,8611f583-b2d1-4e3d-809e-2109c7867a38,hhunter@example.org,7/25/2024,Female,21.16
Robert Oneal,8611f583-b2d1-4e3d-809e-2109c7867a38,hhunter@example.org,12/2/2024,Female,10
Robert Oneal,8611f583-b2d1-4e3d-809e-2109c7867a38,hhunter@example.org,12/7/2024,Female,93.97
Robert Oneal,8611f583-b2d1-4e3d-809e-2109c7867a38,hhunter@example.org,5/31/2024,Female,10
Raymond Navarro,6e5bac20-725c-4675-8a95-71e407dc02b1,ujohnson@example.net,4/2/2024,Male,26.23
Raymond Navarro,6e5bac20-725c-4675-8a95-71e407dc02b1,ujohnson@example.net,5/8/2024,Male,19.31
Raymond Navarro,6e5bac20-725c-4675-8a95-71e407dc02b1,ujohnson@example.net,2/14/2024,Male,10
Raymond Navarro,6e5bac20-725c-4675-8a95-71e407dc02b1,ujohnson@example.net,9/9/2024,Male,33.9
Raymond Navarro,6e5bac20-725c-4675-8a95-71e407dc02b1,ujohnson@example.net,5/6/2024,Male,16.92
Raymond Navarro,6e5bac20-725c-4675-8a95-71e407dc02b1,ujohnson@example.net,3/5/2024,Male,43.46
Crystal Diaz,353e0c86-24ae-4a79-a4b8-298798ba0f0e,harrisemily@example.org,9/30/2024,Male,45.76
Crystal Diaz,353e0c86-24ae-4a79-a4b8-298798ba0f0e,harrisemily@example.org,4/17/2024,Male,174.73
Crystal Diaz,353e0c86-24ae-4a79-a4b8-298798ba0f0e,harrisemily@example.org,9/8/2024,Male,76.44
Crystal Diaz,353e0c86-24ae-4a79-a4b8-298798ba0f0e,harrisemily@example.org,12/6/2024,Male,13.89
Crystal Diaz,353e0c86-24ae-4a79-a4b8-298798ba0f0e,harrisemily@example.org,3/25/2024,Male,15.81
Crystal Diaz,353e0c86-24ae-4a79-a4b8-298798ba0f0e,harrisemily@example.org,2/21/2024,Male,60.32
John Zimmerman,f76dce6e-0726-444a-a152-03c7421aa15e,michaelkennedy@example.com,4/18/2024,Male,38.68
John Zimmerman,f76dce6e-0726-444a-a152-03c7421aa15e,michaelkennedy@example.com,11/16/2024,Male,38.1
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,4/25/2024,Female,10
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,3/29/2024,Female,19.6
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,10/2/2024,Female,10
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,4/16/2024,Female,26.57
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,6/2/2024,Female,18.21
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,1/17/2024,Female,49.91
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,2/18/2024,Female,27.58
Erin Watkins,94b28b9d-8881-4f42-9a42-b62914afe646,eric22@example.org,1/8/2024,Female,44.09
Benjamin Fisher,ed28508d-bdaa-4bfa-aab0-15638cffbbb1,brittanyevans@example.com,1/31/2024,Male,12.6
Benjamin Fisher,ed28508d-bdaa-4bfa-aab0-15638cffbbb1,brittanyevans@example.com,6/11/2024,Male,10
Benjamin Fisher,ed28508d-bdaa-4bfa-aab0-15638cffbbb1,brittanyevans@example.com,5/14/2024,Male,13.33
Benjamin Fisher,ed28508d-bdaa-4bfa-aab0-15638cffbbb1,brittanyevans@example.com,12/12/2024,Male,19.75
Benjamin Fisher,ed28508d-bdaa-4bfa-aab0-15638cffbbb1,brittanyevans@example.com,1/22/2024,Male,29.35
Jason Chandler,5f20f406-3438-44e4-b0f8-dd9952177eb7,stephanie12@example.org,4/11/2024,Female,192.35
Jason Chandler,5f20f406-3438-44e4-b0f8-dd9952177eb7,stephanie12@example.org,7/22/2024,Female,19.25
Jason Chandler,5f20f406-3438-44e4-b0f8-dd9952177eb7,stephanie12@example.org,9/8/2024,Female,10
Jason Chandler,5f20f406-3438-44e4-b0f8-dd9952177eb7,stephanie12@example.org,10/17/2024,Female,14.21
Jason Chandler,5f20f406-3438-44e4-b0f8-dd9952177eb7,stephanie12@example.org,6/11/2024,Female,12.63
Randall Reynolds,5723a959-7415-4acc-b5a3-e8933f7a2748,michaelwelch@example.org,6/25/2024,Male,32.51
Randall Reynolds,5723a959-7415-4acc-b5a3-e8933f7a2748,michaelwelch@example.org,3/15/2024,Male,10
Randall Reynolds,5723a959-7415-4acc-b5a3-e8933f7a2748,michaelwelch@example.org,1/1/2024,Male,21.4
Randall Reynolds,5723a959-7415-4acc-b5a3-e8933f7a2748,michaelwelch@example.org,9/12/2024,Male,23.49
Randall Reynolds,5723a959-7415-4acc-b5a3-e8933f7a2748,michaelwelch@example.org,8/13/2024,Male,25.33
Edwin Mack,9bf1f1d1-8b92-4247-8d18-c103a100ed14,rogerpotter@example.org,9/4/2024,Female,11.05
Crystal Gill,0588d91d-fbe8-4a8e-a1cf-0d1d47b3df41,nelsonelizabeth@example.org,4/3/2024,Male,15.83
Crystal Gill,0588d91d-fbe8-4a8e-a1cf-0d1d47b3df41,nelsonelizabeth@example.org,7/11/2024,Male,10
Crystal Gill,0588d91d-fbe8-4a8e-a1cf-0d1d47b3df41,nelsonelizabeth@example.org,7/31/2024,Male,12.26
Crystal Gill,0588d91d-fbe8-4a8e-a1cf-0d1d47b3df41,nelsonelizabeth@example.org,5/24/2024,Male,11.67
Crystal Gill,0588d91d-fbe8-4a8e-a1cf-0d1d47b3df41,nelsonelizabeth@example.org,2/7/2024,Male,30.45
Drew Fischer,15d38ca9-986c-48d5-b22f-1499e8a56f31,jonesjose@example.net,5/4/2024,Female,10
Drew Fischer,15d38ca9-986c-48d5-b22f-1499e8a56f31,jonesjose@example.net,7/12/2024,Female,43.87
Drew Fischer,15d38ca9-986c-48d5-b22f-1499e8a56f31,jonesjose@example.net,3/31/2024,Female,89.52
Drew Fischer,15d38ca9-986c-48d5-b22f-1499e8a56f31,jonesjose@example.net,12/1/2024,Female,10
Drew Fischer,15d38ca9-986c-48d5-b22f-1499e8a56f31,jonesjose@example.net,2/29/2024,Female,30.76
Drew Fischer,15d38ca9-986c-48d5-b22f-1499e8a56f31,jonesjose@example.net,5/31/2024,Female,39.52
